ID,Name,Age,Potential,Value,Height,Weight,SprintSpeed,Stamina,Strength,Balance,Agility
16,Luis Garca,37,71,750000,177.8,64.86,50,64,60,72,62
41,Iniesta,34,86,21500000,170.18,68.04,67,55,58,84,79
80,E. Belzolu,37,79,4000000,170.18,72.12,38,61,65,81,68
164,G. Pinzi,37,70,240000,180.34,76.2,62,74,67,63,69
657,D. Vaughan,35,66,150000,167.64,69.85,33,50,58,91,60
768,Felipe,33,75,2700000,187.96,74.84,41,48,67,63,49
1179,G. Buffon,40,88,4000000,193.04,92.08,43,39,69,49,55
2147,M. Stekelenburg,35,73,950000,198.12,92.08,36,30,77,27,30
2335,A. Wilbraham,38,63,130000,190.5,72.12,40,34,82,51,35
2702,K. Ellison,39,57,30000,180.34,76.2,42,55,82,66,62
3281,Tarantini,34,75,3200000,187.96,78.02,52,54,78,52,57
3665,B. Nivet,41,71,0,177.8,74.84,40,41,56,67,59
5479,Casillas,37,82,1500000,185.42,83.91,57,43,70,46,62
6826,G. Barry,37,72,425000,182.88,78.02,33,47,74,60,43
7647,D. Dainelli,39,73,270000,190.5,78.02,33,32,79,34,30
8205,Braga,35,70,750000,180.34,74.84,49,54,72,62,62
9014,A. Robben,34,84,15500000,180.34,79.83,76,64,67,90,87
9833,D. Boer,37,69,70000,193.04,88.9,43,32,64,41,36
10466,S. Ishizaki,36,67,240000,180.34,81.19,57,61,69,72,73
10884,M. Flynn,37,59,50000,180.34,84.82,38,40,74,60,34
10899,C. Porter,34,62,160000,185.42,83.01,49,69,84,65,59
11381,M. Gilks,36,67,100000,185.42,81.19,37,27,54,41,47
11430,J. McCombe,35,53,10000,195.58,78.93,29,32,76,22,23
11800,C. Weale,36,57,10000,187.96,83.91,47,40,63,60,65
11811,P. Green,35,63,150000,170.18,77.11,56,79,66,80,70
12940,E. Pogatetz,35,68,210000,190.5,89.81,32,61,91,48,32
13883,D. Whitaker,37,61,80000,177.8,73.03,54,66,65,76,74
14907,A. Bizzarri,40,76,525000,187.96,88.9,45,31,55,51,53
16097,N. Rimando,39,71,160000,177.8,83.01,46,31,60,55,52
16254,T. Howard,39,72,210000,190.5,88,39,26,74,50,38
17725,A. Hughes,38,65,70000,182.88,69.85,26,55,77,52,43
18115,R£ben Fernandes,32,72,1800000,185.42,78.02,65,76,75,60,62
18122,N. Penneteau,37,73,270000,185.42,86.18,27,26,63,41,38
18745,M. Tyler,41,59,10000,182.88,83.01,41,30,54,46,48
18771,L. Steele,33,68,450000,187.96,76.2,51,38,55,58,65
19410,A. Revell,34,61,130000,190.5,78.02,58,89,76,48,46
19521,J. Ibehre,35,61,120000,193.04,92.08,68,80,90,48,47
19541,G. Morris,34,63,150000,182.88,69.85,43,30,63,55,56
19975,R. Nuzzolo,34,73,2100000,175.26,73.03,72,75,69,69,71
20209,Ricardo Costa,37,74,750000,182.88,82.1,42,69,77,64,62
20551,A. Isaksson,36,70,240000,195.58,77.11,42,31,70,21,28
20699,K. Bakrcolu,37,65,170000,180.34,77.11,44,53,66,59,57
20775,Quaresma,34,84,15500000,175.26,67.13,82,65,55,84,91
20800,Danny,34,76,3900000,177.8,68.04,63,60,54,74,76
20801,Cristiano Ronaldo,33,94,77000000,187.96,83.01,91,88,79,70,87
22391,R. Cretaro,36,57,40000,165.1,66.22,51,29,39,85,67
23466,R. Taylor,33,69,400000,177.8,69.85,43,61,62,74,63
23823,A. Johansson,36,72,425000,182.88,72.12,33,57,76,57,55
24248,D. Pizarro,38,73,1300000,170.18,64.86,34,32,50,80,68
24630,Pepe Reina,35,83,6000000,187.96,92.08,63,34,72,60,50
25420,C. Pizarro,39,74,1600000,182.88,83.91,34,50,78,54,65
27480,T. Zwarthoed,35,63,90000,187.96,88.9,34,26,57,35,38
27532,D. de Vries,37,66,40000,190.5,96.16,34,30,71,36,29
28157,P. van der Vlag,40,58,10000,185.42,76.2,28,27,60,25,25
29118,S. Ono,38,54,20000,175.26,76.2,33,28,44,69,50
29552,S. Nakamura,40,72,0,177.8,71.21,30,45,65,69,75
32740,J. Wiland,37,72,210000,187.96,78.02,29,22,72,37,19
34079,A. Cole,37,71,270000,175.26,66.22,64,66,66,75,74
36111,K. Beckerman,36,71,325000,177.8,69.85,40,72,71,68,59
39386,D. Beasley,36,70,200000,172.72,68.04,76,87,53,74,77
41236,Z. Ibrahimovi,36,85,14000000,195.58,94.8,59,61,86,39,75
45083,S. von Bergen,35,73,950000,182.88,78.93,49,73,77,70,62
45186,Joaqun,36,81,6000000,177.8,74.84,65,54,64,72,72
45473,C. Tiffert,36,70,240000,182.88,78.93,40,75,70,73,73
45548,T. Hysen,36,67,270000,180.34,83.01,68,62,69,75,65
45595,D. Bonera,37,75,900000,182.88,83.91,30,34,77,48,34
45605,M. Brighi,37,69,325000,177.8,77.11,52,63,67,78,56
45842,J. Olsson,35,69,250000,193.04,83.91,37,46,88,38,30
46175,M. Rosenberg,35,73,1800000,182.88,81.19,63,68,81,63,69
46736,E. Moretti,37,75,900000,182.88,77.11,34,39,68,65,48
46857,M. Pedersen,36,68,280000,182.88,73.94,40,49,64,64,68
47020,K. Begois,36,67,100000,185.42,78.93,49,31,72,31,61
